ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,ACC-X-Ring3,ACC-Y-Ring3,ACC-Z-Ring3,GYRO-X-Ring3,GYRO-Y-Ring3,GYRO-Z-Ring3,TEST
5.76,-3.56,20.08,-1.9,-2.73,203.76,5.95,-11.52,15.08,-14.55,-96.04,205.27,-13.92,13.82,-1.5,-220.46,96.0,36.13,1
3.0,-1.81,18.37,-19.29,-8.11,212.4,7.04,-13.47,16.62,-7.52,-103.03,81.74,-10.93,10.16,6.52,-96.68,40.33,68.02,1
5.88,-3.17,20.37,17.38,-52.05,90.48,3.43,-7.22,15.55,35.11,-24.71,48.63,-13.31,12.6,5.7,-21.48,13.82,44.29,1
3.21,4.48,16.84,59.18,-45.8,49.61,5.52,-6.97,17.92,-27.39,-12.99,6.1,-11.4,16.02,6.44,-20.51,-17.97,31.49,1
5.82,-2.24,22.23,-1.42,-15.48,23.58,3.95,-11.76,19.03,14.6,10.35,2.83,-13.66,12.64,8.92,-8.98,0.29,0.0,1
3.97,-3.0,22.29,-1.12,-1.56,-3.61,6.09,-9.5,20.07,-17.38,35.6,-39.01,-13.12,15.81,6.96,44.43,-28.03,-20.56,1
7.64,0.16,23.36,-0.83,11.77,-49.56,5.57,-7.25,16.33,-17.09,98.93,-93.16,-15.49,13.91,3.18,83.5,-46.14,-77.59,1
3.81,-2.01,19.08,-35.4,62.6,-118.02,4.84,-10.82,14.0,-67.09,82.52,-123.0,-11.03,16.77,2.49,82.96,-107.13,-42.14,1
6.05,-6.41,18.31,-42.72,20.12,-124.8,7.88,-14.49,13.91,-30.91,78.52,-108.89,-9.92,15.37,6.18,73.39,-100.68,-33.94,1
8.88,-7.97,19.1,-35.06,8.54,-125.24,5.58,-16.81,12.74,-15.48,81.49,-103.76,-8.73,16.78,8.34,90.04,-86.28,-42.72,1
5.97,-9.55,19.09,0.15,25.0,-120.61,3.4,-16.57,12.13,-23.78,30.76,-27.05,-9.93,16.45,10.41,8.69,-37.65,-29.15,1
