ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,ACC-X-Ring3,ACC-Y-Ring3,ACC-Z-Ring3,GYRO-X-Ring3,GYRO-Y-Ring3,GYRO-Z-Ring3,TEST
-5.97,-14.8,11.18,-178.47,46.0,-3.52,6.86,-18.37,-3.1,-105.08,-65.33,90.28,-6.08,13.5,11.27,-149.9,5.81,-64.65,1
-6.15,-20.19,3.0,-203.76,31.64,17.77,1.02,-21.2,-9.83,-123.73,-81.15,118.95,-7.97,7.1,14.65,-199.61,23.14,-66.65,1
-6.36,-23.63,-5.65,-179.69,26.07,29.39,-3.85,-19.83,-15.0,-94.48,-91.46,109.18,-8.5,-5.05,16.05,-198.78,25.83,-53.81,1
-5.65,-18.03,-16.32,-154.59,25.63,50.44,-6.6,-11.92,-17.36,-60.84,-104.74,112.26,-9.21,-13.73,12.34,-172.02,54.44,-36.47,1
-7.18,-19.04,-17.28,-115.09,23.63,56.35,-2.48,-10.76,-12.49,-2.39,-109.23,86.13,-11.03,-17.11,2.31,-88.72,84.96,-9.86,1
-14.19,-12.76,-14.58,4.25,3.22,-1.17,-11.82,-4.25,-8.77,17.33,3.08,-1.46,-18.19,-18.55,1.84,-5.76,24.8,0.68,1
-8.61,-18.1,-13.27,78.27,-4.2,-15.04,-13.19,-11.57,-12.51,58.69,59.81,-53.71,-12.32,-14.67,6.67,96.63,-27.54,12.74,1
-8.8,-19.87,-10.58,129.35,-36.43,-18.51,-11.85,-14.99,-14.44,80.42,69.73,-84.91,-11.61,-17.26,10.13,128.71,-24.85,23.58,1
-9.7,-21.54,-4.32,91.41,-41.85,-25.49,-7.1,-20.66,-13.27,33.3,39.7,-85.99,-11.78,-11.29,15.86,104.1,-31.35,32.52,1
-8.11,-21.46,1.45,124.66,-34.57,-10.5,-3.35,-21.77,-10.87,68.65,53.08,-78.03,-10.54,-5.44,18.47,128.86,-19.78,42.72,1
-7.03,-20.19,5.98,113.62,-29.3,1.46,1.08,-21.38,-7.51,72.9,41.41,-57.76,-10.33,2.57,18.93,110.55,-13.28,39.31,1
-6.36,-15.78,10.79,98.93,-21.0,4.1,4.44,-20.01,-3.21,64.5,30.62,-53.42,-9.17,7.17,15.78,104.69,3.61,35.11,1
-6.06,-11.31,15.0,112.65,-31.98,6.1,7.19,-17.39,0.65,67.58,27.0,-59.77,-7.7,12.81,12.44,121.63,8.25,42.72,1
-5.25,-6.85,17.9,84.86,-37.16,5.18,10.29,-15.76,5.15,47.36,8.5,-57.81,-6.33,15.08,10.16,73.05,4.69,46.83,1
-3.77,-5.89,20.11,82.28,-18.9,8.4,13.17,-14.62,7.87,57.28,22.27,-45.41,-4.55,17.39,6.4,57.03,4.35,30.22,1
-2.51,1.23,21.3,70.41,-1.56,14.75,13.63,-10.55,10.76,43.07,14.65,-19.48,-3.08,23.21,3.11,57.42,9.03,15.19,1
-3.28,4.42,20.45,33.4,6.15,9.52,12.83,-9.96,12.09,14.16,6.45,-2.98,-2.8,22.17,0.45,24.76,3.17,-0.34,1
-3.59,4.41,20.0,30.91,2.59,6.3,11.47,-8.62,13.07,15.87,6.2,-3.17,-2.6,19.64,-0.24,27.54,2.88,2.34,1
-3.93,4.81,20.39,-1.07,-2.54,1.66,13.38,-9.44,13.55,-4.15,-4.98,-0.39,-3.2,20.04,-1.41,1.61,4.44,0.24,1
-3.81,4.62,21.49,12.16,-4.39,1.12,11.62,-9.29,13.19,-0.98,4.3,2.44,-3.18,19.53,-0.94,3.32,3.91,-1.71,1
-5.48,-19.42,-12.24,-141.55,18.8,34.91,-14.84,-6.24,-10.14,22.46,9.13,-20.21,-13.48,-22.99,0.1,19.24,-14.26,7.18,2
-6.21,-17.04,-15.19,-94.53,10.01,48.68,-15.12,-10.41,-12.09,82.81,64.11,-84.33,-11.61,-18.01,4.39,139.11,-40.87,26.76,2
-5.86,-11.7,-15.63,-39.65,7.08,54.3,-13.51,-18.22,-15.11,45.7,73.63,-86.43,-8.93,-17.97,10.95,118.46,-43.07,26.76,2
