ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,ACC-X-Ring3,ACC-Y-Ring3,ACC-Z-Ring3,GYRO-X-Ring3,GYRO-Y-Ring3,GYRO-Z-Ring3,TEST
-9.54,0.47,20.03,-34.13,45.12,9.91,24.47,-4.66,36.51,12.4,-283.2,-41.21,-3.95,11.94,-11.9,58.59,85.06,-28.71,1
-13.55,-2.54,17.57,-74.95,-191.02,91.11,7.83,-22.68,24.71,-115.87,-139.89,-51.81,-42.35,39.88,-23.33,83.59,27.05,-758.69,1
-18.72,-16.99,36.37,50.05,194.63,-20.41,-1.67,-3.49,11.59,-12.16,-42.87,-38.28,-15.66,-17.51,-2.18,236.82,-83.2,95.95,1
19.92,-14.67,17.77,-2.2,-52.25,-79.05,0.54,-7.83,15.07,34.86,45.65,0.05,-15.56,5.76,-7.74,-43.31,7.28,19.87,1
12.22,-17.72,26.74,-84.03,-60.6,-42.24,1.33,-17.07,16.54,37.79,69.19,-6.74,-11.59,11.42,-8.32,-9.28,5.13,38.82,1
4.3,-0.68,18.74,7.71,16.46,-36.28,2.79,-10.38,18.37,41.36,51.66,2.39,-6.23,19.47,-13.54,-9.57,-35.16,35.99,1
-1.34,1.25,22.58,43.75,56.01,-44.14,0.59,-10.35,18.85,12.65,11.23,-6.88,-13.08,12.39,-10.47,10.2,-15.92,61.96,1
0.17,-1.43,22.05,2.34,46.29,-21.04,-0.32,-10.87,19.48,-8.89,3.42,-1.86,-3.32,20.16,-11.73,27.69,-41.75,38.53,1
-2.88,1.15,21.05,-3.76,-3.52,0.2,-0.8,-9.31,18.9,21.63,-0.59,-6.93,-5.81,12.46,-8.8,-7.23,-24.61,44.87,1
-4.97,-1.14,21.33,-0.44,-2.78,-0.59,-2.53,-9.22,18.62,9.91,15.87,-9.77,-5.2,14.82,-9.8,18.7,-0.34,12.35,1
-2.47,0.03,22.28,4.05,-6.35,0.0,-2.4,-9.94,18.87,17.14,13.18,-3.17,-3.98,17.69,-12.39,2.49,18.65,2.29,1
-3.48,0.98,20.97,-3.17,-34.91,11.72,-2.4,-9.86,19.12,0.05,4.64,0.05,-4.47,16.5,-10.6,5.42,1.95,-10.89,1
-1.04,1.77,20.77,18.21,13.28,7.23,-2.3,-9.08,19.2,-10.25,-0.29,-0.88,-4.02,16.05,-10.68,15.82,9.13,2.39,1
-0.74,3.16,21.45,-3.66,-12.01,-1.17,-2.39,-9.0,18.85,0.2,-2.98,1.27,-7.12,14.07,-11.4,-12.94,4.44,-3.71,1
-1.91,3.11,20.97,9.13,-2.88,2.29,-2.22,-11.24,19.33,-2.64,-2.39,3.76,-6.86,15.05,-11.41,-8.45,9.47,-2.1,1
-0.84,0.48,21.58,-13.77,-7.47,-2.29,-1.43,-11.37,18.79,-0.98,-1.81,-0.34,-6.43,16.36,-11.64,-21.0,6.74,-8.89,1
-2.43,1.83,21.58,-12.01,-4.39,-2.25,-0.45,-10.52,19.07,-4.74,-3.76,0.98,-6.3,14.46,-10.2,2.88,6.88,-1.61,1
-2.4,0.63,21.54,7.86,0.05,1.95,-0.9,-10.47,18.73,3.32,-1.42,-0.98,-5.22,14.46,-10.27,-5.32,4.64,-0.24,1
-2.56,0.13,21.49,5.08,-1.81,0.68,-0.85,-12.08,19.06,-1.56,-0.05,1.9,-4.67,15.92,-10.25,-4.64,1.71,1.66,1
-1.7,-0.44,21.88,-4.1,-3.42,0.29,-0.9,-10.95,18.74,-6.54,-1.86,0.2,-4.41,15.51,-9.9,-3.66,-1.71,0.93,1
-6.33,3.31,22.96,76.37,88.13,24.56,-5.7,-9.38,12.64,-132.32,-105.52,18.21,-3.16,12.01,-11.91,-66.36,-39.45,-27.73,2
-7.24,1.73,19.9,-57.03,48.29,6.01,-1.91,-21.0,4.99,24.27,-199.76,-19.14,-6.9,12.85,-12.51,25.68,74.71,-35.84,2
-20.18,-5.4,13.75,-147.27,-210.55,124.46,-22.86,-5.87,34.03,-185.11,105.08,23.24,-42.35,39.88,7.42,63.77,-123.78,-1053.03,2
-16.99,6.02,26.21,45.75,146.04,-25.98,-3.33,-8.17,13.84,105.62,77.64,-46.39,-11.11,-17.82,-3.1,295.46,-107.08,114.99,2
-3.4,-4.39,14.54,182.23,102.78,-57.28,7.31,-21.55,16.35,10.89,65.33,-26.27,-16.07,16.86,-13.81,-17.24,2.0,5.47,2
7.36,-9.43,21.81,-1.86,-22.95,-30.52,5.93,-15.8,16.62,54.0,98.97,10.21,-9.28,13.24,-7.18,2.25,-43.16,21.83,2
5.24,-8.0,17.59,79.78,80.81,-23.88,1.01,-7.63,18.41,48.1,36.67,2.15,-12.35,15.08,-7.68,-72.46,11.18,49.56,2
5.19,3.15,22.77,-28.13,31.54,-27.15,-3.04,-8.75,17.19,64.55,53.52,-27.29,-17.16,9.67,-7.79,47.31,-9.77,49.76,2
-5.08,5.24,20.33,59.13,70.7,-46.48,-1.16,-6.56,21.04,-3.08,-17.09,4.64,-9.04,16.96,-11.53,21.68,42.72,10.45,2
-2.22,-0.01,21.93,35.25,8.79,18.51,2.15,-8.9,21.82,-2.69,-15.97,4.93,1.37,23.22,-9.99,7.08,7.23,5.96,2
